Year,League,Name,Team,TH,W-L,ERA,IP,SO,SV
1979,NL,Bruce Sutter (1 | HOF | ASG),Chicago (2),R,6-6,2.22,101.1,110,37
1980,AL,Steve Stone (1 | ASG),Baltimore (6),R,25-7,3.23,251.0,149,0
1980,NL,Steve Carlton (3 | HOF | ASG),Philadelphia (3),L,24-9,2.34,304.0,286,0
1981,AL,Rollie Fingers (1 | HOF | MVP | ASG),Milwaukee (1),R,6-3,1.04,78.0,61,28
1981,NL,Fernando Valenzuela (1 | ROY | SS | ASG),Los Angeles (7),L,13-7,2.48,192.1,180,0
1982,AL,Pete Vuckovich (1),Milwaukee (2),R,18-6,3.34,223.2,105,0
1982,NL,Steve Carlton (4 | HOF | ASG),Philadelphia (4),L,23-11,3.10,295.2,286,0
1983,AL,La Marr Hoyt (1),Chicago (2),R,24-10,3.66,260.2,148,0
1983,NL,John Denny (1),Philadelphia (5),R,19-6,2.37,242.2,139,0
1984,AL,Willie Hernandez (1 | MVP | ASG),Detroit (3),L,9-3,1.92,140.1,112,32
1984,NL,Rick Sutcliffe (1),Chicago (3),R,16-1,2.69,150.1,155,0
1985,AL,Bret Saberhagen (1),Kansas City (1),R,20-6,2.87,235.1,158,0
1985,NL,Dwight Gooden (1 | ASG),New York (4),R,24-4,1.53,276.2,268,0
1986,AL,Roger Clemens (1 | MVP | ASG),Boston (2),R,24-4,2.48,254.0,238,0
1986,NL,Mike Scott (1 | ASG),Houston (1),R,18-10,2.22,275.1,306,0
1987,AL,Roger Clemens (2),Boston (3),R,20-9,2.97,281.2,256,0
1987,NL,Steve Bedrosian (1 | ASG),Philadelphia (6),R,5-3,2.83,89.0,74,40
1988,AL,Frank Viola (1),Minnesota (2),L,24-7,2.64,255.1,193,0
1988,NL,Orel Hershiser (1 | ASG),Los Angeles (8),R,23-8,2.26,267.0,178,1
1989,AL,Bret Saberhagen (2),Kansas City (2),R,23-6,2.16,262.1,193,0
1989,NL,Mark Davis (1 | ASG),San Diego (3),L,4-3,1.85,92.2,92,44
1990,AL,Bob Welch (1 | ASG),Oakland (3),R,27-6,2.95,238.0,127,0
1990,NL,Doug Drabek (1),Pittsburgh (2),R,22-6,2.76,231.1,131,0
1991,AL,Roger Clemens (3 | ASG),Boston (4),R,18-10,2.62,271.1,241,0
1991,NL,Tom Glavine (1 | HOF | SS | ASG),Atlanta (2),L,20-11,2.55,246.2,192,0
1992,AL,Dennis Eckersley (1 | HOF | MVP | ASG),Oakland (4),R,7-1,1.91,80.0,93,51
1992,NL,Greg Maddux (1 | HOF | ASG),Chicago (4),R,20-11,2.18,268.0,199,0
1993,AL,Jack McDowell (1 | ASG),Chicago (3),R,22-10,3.37,256.2,158,0
1993,NL,Greg Maddux (2 | HOF),Atlanta (3),R,20-10,2.36,267.0,197,0
1994,AL,David Cone (1 | ASG),Kansas City (3),R,16-5,2.94,171.2,132,0
1994,NL,Greg Maddux (3 | HOF | ASG),Atlanta (4),R,16-6,1.56,202.0,156,0
1995,AL,Randy Johnson (1 | HOF | ASG),Seattle (1),L,18-2,2.48,214.1,294,0
1995,NL,Greg Maddux (4 | HOF | ASG),Atlanta (5),R,19-2,1.63,209.2,181,0
1996,AL,Pat Hentgen (1),Toronto (1),R,20-10,3.22,265.2,177,0
1996,NL,John Smoltz (1 | HOF | ASG),Atlanta (6),R,24-8,2.94,253.2,176,0
1997,AL,Roger Clemens (4 | ASG),Toronto (2),R,21-7,2.05,264.0,292,0
1997,NL,Pedro Martinez (1 | HOF | ASG),Montreal (1),R,17-8,1.90,241.1,305,0
1998,AL,Roger Clemens (5 | ASG),Toronto (3),R,20-6,2.65,234.2,271,0
1998,NL,Tom Glavine (2 | HOF | SS | ASG),Atlanta (7),L,20-6,2.47,229.1,157,0
1999,AL,Pedro Martinez (2 | HOF | ASG),Boston (5),R,23-4,2.07,213.1,313,0
1999,NL,Randy Johnson (2 | HOF | ASG),Arizona (1),L,17-9,2.48,271.2,364,0
2000,AL,Pedro Martinez (3 | HOF | ASG),Boston (6),R,18-6,1.74,217.0,284,0
2000,NL,Randy Johnson (3 | HOF | ASG),Arizona (2),L,19-7,2.64,248.2,347,0
2001,AL,Roger Clemens (6 | ASG),New York (5),R,20-3,3.51,220.1,213,0
2001,NL,Randy Johnson (4 | HOF | ASG),Arizona (3),L,21-6,2.49,249.2,372,0
2002,AL,Barry Zito (1 | ASG),Oakland (5),L,23-5,2.75,229.1,182,0
2002,NL,Randy Johnson (5 | HOF | ASG),Arizona (4),L,24-5,2.32,260.0,334,0
2003,AL,Roy Halladay (1 | HOF | ASG),Toronto (4),R,22-7,3.25,266.0,204,0
2003,NL,Eric Gagne (1 | ASG),Los Angeles (9),R,2-3,1.20,82.1,137,55
2004,AL,Johan Santana (1),Minnesota (3),L,20-6,2.61,228.0,265,0
2004,NL,Roger Clemens (7 | ASG),Houston (2),R,18-4,2.98,214.1,218,0
2005,AL,Bartolo Colon (1 | ASG),Anaheim (2),R,21-8,3.48,222.2,157,0
2005,NL,Chris Carpenter (1 | ASG),St. Louis (3),R,21-5,2.83,241.2,213,0
2006,AL,Johan Santana (2 | ASG),Minnesota (4),L,19-6,2.77,233.2,245,0
2006,NL,Brandon Webb (1 | ASG),Arizona (5),R,16-8,3.10,235.0,178,0
2007,AL,CC Sabathia (1 | HOF | ASG),Cleveland (2),L,19-7,3.21,241.0,209,0
2007,NL,Jake Peavy (1 | ASG),San Diego (4),R,19-6,2.54,223.1,240,0
2008,AL,Cliff Lee (1 | ASG),Cleveland (3),L,22-3,2.54,223.1,170,0
2008,NL,Tim Lincecum (1 | ASG),San Francisco (2),R,18-5,2.62,227.0,265,0
2009,AL,Zack Greinke (1 | ASG),Kansas City (4),R,16-8,2.16,229.1,242,0
2009,NL,Tim Lincecum (2 | ASG),San Francisco (3),R,15-7,2.48,225.1,261,0
2010,AL,Felix Hernandez (1),Seattle (2),R,13-12,2.27,249.2,232,0
2010,NL,Roy Halladay (2 | HOF | ASG),Philadelphia (7),R,21-10,2.44,250.2,219,0
2011,AL,Justin Verlander (1 | MVP | ASG),Detroit (4),R,24-5,2.40,251.0,250,0
2011,NL,Clayton Kershaw (1 | ASG),Los Angeles (10),L,21-5,2.28,233.1,248,0
2012,AL,David Price (1 | ASG),Tampa Bay (1),L,20-5,2.56,211.0,205,0
2012,NL,R.A. Dickey (1 | ASG),New York (5),R,20-6,2.74,233.2,230,0
2013,AL,Max Scherzer (1 | ASG),Detroit (5),R,21-3,2.90,214.1,240,0
2013,NL,Clayton Kershaw (2 | ASG),Los Angeles (11),L,16-9,1.83,236.0,232,0
2014,AL,Corey Kluber (1),Cleveland (4),R,18-9,2.45,235.2,269,0
2014,NL,Clayton Kershaw (3 | MVP | ASG),Los Angeles (12),L,21-3,1.77,198.1,239,0
2015,AL,Dallas Keuchel (1 | ASG),Houston (3),L,20-8,2.48,232.0,216,0
2015,NL,Jake Arrieta (1),Chicago (5),R,22-6,1.77,229.0,236,0
2016,AL,Rick Porcello (1),Boston (7),R,22-4,3.15,223.0,189,0
2016,NL,Max Scherzer (2 | ASG),Washington (2),R,20-7,2.96,228.1,284,0
2017,AL,Corey Kluber (2 | ASG),Cleveland (5),R,18-4,2.25,203.2,265,0
2017,NL,Max Scherzer (3 | ASG),Washington (3),R,16-6,2.51,200.2,268,0
2018,AL,Blake Snell (1 | ASG),Tampa Bay (2),L,21-5,1.89,180.2,221,0
2018,NL,Jacob deGrom (1 | ASG),New York (6),R,10-9,1.70,217.0,269,0
2019,AL,Justin Verlander (2 | ASG),Houston (4),R,21-6,2.58,223.0,300,0
2019,NL,Jacob deGrom (2 | ASG),New York (7),R,11-8,2.43,204.0,255,0
2020,AL,Shane Bieber (1),Cleveland (6),R,8-1,1.63,77.1,122,0
2020,NL,Trevor Bauer (1),Cincinnati (1),R,5-4,1.73,73.0,100,0
2021,AL,Robbie Ray (1),Toronto (5),L,13-7,2.84,193.1,248,0
2021,NL,Corbin Burnes (1),Milwaukee (3),R,11-5,2.43,167.0,234,0
2022,AL,Justin Verlander (3 | ASG),Houston (5),R,18-4,1.75,175.0,185,0
2022,NL,Sandy Alcantara (1 | ASG),Miami (1),R,14-9,2.28,228.2,207,0
2023,AL,Gerrit Cole (1 | ASG),New York (6),R,15-4,2.63,209.0,222,0
2023,NL,Blake Snell (2),San Diego (5),L,14-9,2.25,180.0,234,0
2024,AL,Tarik Skubal (1 | ASG),Detroit (6),L,18-4,2.39,192.0,228,0
2024,NL,Chris Sale (1 | ASG),Atlanta (8),L,18-3,2.38,177.2,225,0
2025,AL,Tarik Skubal (2 | ASG),Detroit (7),L,13-6,2.21,195.1,241,0
2025,NL,Paul Skenes (1 | ASG),Pittsburgh (3),R,10-10,1.97,187.2,216,0
2026,AL,Not Yet Announced (11-2026),--,--,--,--,--,--,--
2026,NL,Not Yet Announced (11-2026),--,--,--,--,--,--,--
Year,LG,Cy Young Award Winner (Qty),Team (Qty),TH,W-L,ERA,IP,SO,SV
